No,Deskripsi,Keterangan
10,Jelaskan platform aplikasi yang digunakan,Pilih platform aplikasi yang digunakan (Dapat memilih lebih dari satu)
11,Jelaskan arsitektur aplikasi yang digunakan,Jelaskan arsitektur aplikasi yang digunakan
12,Gambarkan dan Jelaskan proses rekonsiliasi yang digunakan,Gambarkan dan Jelaskan proses rekonsiliasi yang digunakan (lampirkan dokumen)
13,Gambarkan dan Jelaskan topologi jaringan yang digunakan,Gambarkan dan Jelaskan topologi jaringan yang digunakan (lampirkan dokumen)
14,Apakah perusahaan memiliki mekanisme fraud detection system?,Dijawab Ya atau Tidak (lampirkan dokumen)
15,Jelaskan flow proses bisnis yang dilakukan oleh perusahaan dengan BNI?,Jelaskan proses bisnis yang dilakukan oleh perusahaan dengan BNI (lampirkan dokumen)
16,Jelaskan mekanisme fraud detection system pada perusahaan,Jelaskan mekanisme fraud detection system pada perusahaan (lampirkan dokumen)
V,Endpoint Security (PC atau Laptop terkait),
1,"PC ditempatkan di lingkungan yang aman, terkunci ",Dijawab Ya atau tidak 
,,
2,"Setiap pengguna end point berupa PC dan laptop, login ke operating system menggunakan non-privileged user (non administrator/non super user).","Dijawab Ya atau tidak (jika Ya, dilampirkan eviden/ dokumen)"
,,
3,Aplikasi yang di install di end point merupakan aplikasi yang legal dan terpercaya,"Dijawab Ya atau tidak (jika Ya, dilampirkan eviden/ dokumen)"
,,
4,Tersedia antivirus dan active scanning ,"Dijawab Ya atau tidak (jika Ya, dilampirkan eviden/ dokumen)"
,,
5,"Terkoneksi pada authentication, authorization, and accounting system yang terpusat","Dijawab Ya atau tidak (jika Ya, dilampirkan eviden/ dokumen)"
,,
6,Penutupan port USB atau removable media lainnya,"Dijawab Ya atau tidak (jika Ya, dilampirkan eviden/ dokumen)"
,,
7,Penutupan akses internet,Dijawab Ya atau tidak 
,,
VI,Insiden Response ,
1,Apakah terdapat prosedur insiden response yang tertulis?,Dijawab Ya atau Tidak
2,Jelaskan proses mekanisme insiden response,Jelaskan proses mekanisme insiden response (lampirkan dokumen IR)
VII,Helpdesk dan Support,
1,Hotline helpdesk perusahaan,Sebutkan hotline Helpdesk perusahaan
2,Lokasi helpdesk perusahaan,Sebutkan lokasi helpdesk perusahaan
